,dsc,prec,rec,th_jacc
0,0.7956989247311828,0.9910714285714286,0.6646706586826348,0.6607142857142857
1,0.20942982456140352,0.12557527942143326,0.6303630363036303,0.0
2,0.29359430604982206,0.17205422314911367,1.0,0.0
3,0.21074380165289255,0.1401098901098901,0.425,0.0
4,0.9434737923946557,0.9582463465553236,0.9291497975708503,0.8929961089494164
5,0.8289473684210527,0.875,0.7875,0.7078651685393258
6,0.9527207850133809,0.9303135888501742,0.9762340036563071,0.909710391822828
7,0.9627659574468085,0.9890710382513661,0.9378238341968912,0.9282051282051282
8,0.946319018404908,0.9127218934911243,0.982484076433121,0.8981077147016011
9,0.9254571026722925,0.9293785310734464,0.9215686274509803,0.8612565445026178
10,0.8945925741340643,0.809287646528404,1.0,0.809287646528404
11,0.9583848372476308,0.9635459817729909,0.9532786885245902,0.9200949367088608
12,0.9606821411653245,0.9647954329210275,0.9566037735849057,0.9243391066545124
13,0.9655172413793104,0.9471947194719472,0.9845626072041166,0.9333333333333333
0,0.9064220183486239,0.8576388888888888,0.9610894941634242,0.8288590604026845
1,0.9032901296111665,0.9977973568281938,0.825136612021858,0.8236363636363636
2,0.9180327868852459,0.9256198347107438,0.9105691056910569,0.8484848484848485
3,0.7532307692307693,0.9592476489028213,0.6200607902735562,0.0
4,0.9108910891089109,0.8582089552238806,0.9704641350210971,0.8363636363636363
5,0.8933143669985776,0.9558599695585996,0.8384512683578104,0.8071979434447301
6,0.9400164338537387,0.9315960912052117,0.9485903814262023,0.8868217054263566
7,0.9639934533551555,0.9608482871125612,0.9671592775041051,0.9304897314375987
8,0.9613821138211383,0.9441117764471058,0.979296066252588,0.9256360078277887
9,0.9491525423728814,0.9853372434017595,0.9155313351498637,0.9032258064516129
10,0.9693877551020408,0.9608900876601484,0.9780370624571036,0.9405940594059405
11,0.8919814446653412,0.8128019323671497,0.9882525697503671,0.8050239234449761
12,0.7262247838616714,0.5949008498583569,0.9319526627218935,0.0
13,0.9489932885906041,0.912258064516129,0.9888111888111888,0.9029374201787995
0,0.9014084507042254,0.9568106312292359,0.8520710059171598,0.8205128205128205
1,0.9264069264069265,1.0,0.8629032258064516,0.8629032258064516
2,0.8627156789197299,0.758575197889182,1.0,0.758575197889182
3,0.9163526752072344,0.8456189151599444,1.0,0.8456189151599444
4,0.9487870619946092,0.9777777777777777,0.9214659685863874,0.9025641025641026
5,0.9158878504672897,0.9560975609756097,0.8789237668161435,0.8448275862068966
6,0.8603351955307262,1.0,0.7549019607843137,0.7549019607843137
7,0.947606142728094,0.9153577661431065,0.9822097378277154,0.9004291845493563
8,0.9436144578313252,0.9458937198067633,0.9413461538461538,0.8932481751824818
9,0.9620098039215687,0.9389952153110048,0.9861809045226131,0.9268004722550177
10,0.8916030534351145,0.8613569321533924,0.9240506329113924,0.8044077134986226
11,0.909919028340081,0.857824427480916,0.96875,0.8347260909935005
12,0.9401888772298006,0.8951048951048951,0.9900552486187846,0.8871287128712871
13,0.8872512896094326,0.9966887417218543,0.799468791500664,0.7973509933774835
0,0.9549795361527967,0.9749303621169917,0.9358288770053476,0.9138381201044387
1,0.8566243194192378,0.8151986183074266,0.9024856596558317,0.7492063492063492
2,0.685207100591716,0.5211521152115212,1.0,0.0
3,0.9174311926605505,1.0,0.847457627118644,0.847457627118644
4,0.8723051409618574,0.9037800687285223,0.842948717948718,0.7735294117647059
5,0.8746736292428199,0.9436619718309859,0.8150851581508516,0.777262180974478
6,0.7361344537815127,0.6143057503506312,0.9182389937106918,0.0
7,0.940377358490566,0.9614197530864198,0.9202363367799113,0.8874643874643875
8,0.917312661498708,0.9491978609625669,0.8875,0.847255369928401
9,0.9361702127659575,0.9217877094972067,0.9510086455331412,0.88
10,0.9630541871921182,0.9807692307692307,0.9459677419354838,0.9287410926365796
11,0.9473684210526315,0.987460815047022,0.9104046242774566,0.9
12,0.9169611307420494,0.9334532374100719,0.9010416666666666,0.8466557911908646
13,0.9470404984423676,0.9620253164556962,0.9325153374233128,0.8994082840236687
0,0.9138211382113821,0.8463855421686747,0.9929328621908127,0.8413173652694611
1,0.8646288209606987,0.7754569190600522,0.9769736842105263,0.7615384615384615
2,0.839458413926499,0.725752508361204,0.9954128440366973,0.7233333333333334
3,0.841960604672469,0.7287866772402855,0.9967462039045553,0.7270569620253164
4,0.6917740336967294,0.612280701754386,0.7949886104783599,0.0
5,0.8462783171521036,0.920774647887324,0.7829341317365269,0.7335203366058906
6,0.9302844394868934,0.9164835164835164,0.9445073612684032,0.8696558915537018
7,0.9466666666666667,0.9699453551912568,0.9244791666666666,0.8987341772151899
8,0.8878923766816144,1.0,0.7983870967741935,0.7983870967741935
9,0.8980667838312829,0.8949211908931699,0.9012345679012346,0.8149920255183413
10,0.8521522145976295,0.7914252607184241,0.922972972972973,0.7423913043478261
11,0.9288793103448276,0.9976851851851852,0.8689516129032258,0.8672032193158954
12,0.828082808280828,0.975609756097561,0.7193119624706802,0.706605222734255
